# Candidate repositories for the corpus that are not in it yet.
#
# Two batches, both filtered to repos that are not archived, not forks, and
# actually contain .erb files:
#
#   1. Herb adopters, discovered with `bin/corpus discover` (GitHub code
#      search for .herb.yml, @herb-tools in package.json, and gem "herb" in
#      a Gemfile). GitHub's REST code search cannot do path globs, so this
#      relies on filename:/extension: plus a free-text term.
#
#   2. A path-based sweep for `**/*.html.erb` and `**/.herb.yml` via the
#      Sourcegraph public search API, which does support path regexes:
#        curl -s 'https://sourcegraph.com/.api/search/stream?q=file:\.html\.erb$%20select:repo%20count:all&v=V3&t=regexp&display=20000' \
#          -H 'accept: text/event-stream'
#      Capped at repos with >= 50 .html.erb files, then deduped against
#      corpus.yml by canonical repo name so renames (thepracticaldev/dev.to
#      -> forem/forem) do not sneak back in as duplicates.
#
# Columns: repo, branch, license, redistributable, name
# Blank branch means detect the default. Unverified licenses are marked
# redistributable=false so nothing ships until someone reads the license.
#
# Import with:  bin/corpus add --from discovered/candidates.tsv
#
# erb counts at time of discovery are in the trailing comment on each row.

masasakano/music_i18n		BSD-3-Clause	true		# 313 erb, 0 stars, pushed 2026-08-01
qkunst/collectiemanagement		AGPL-3.0	true		# 240 erb, 4 stars, pushed 2026-08-01
murny/feedbackbin		unknown	false		# 240 erb, 5 stars, pushed 2026-07-27
sul-dlss/hungry-hungry-hippo		Apache-2.0	true		# 190 erb, 2 stars, pushed 2026-07-29
eventaservo/eventaservo		AGPL-3.0	true		# 184 erb, 31 stars, pushed 2026-08-02
sul-dlss/sdr_view_components		MIT	true		# 143 erb, 0 stars, pushed 2026-07-27
marcoroth/herb		MIT	true		# 136 erb, 1275 stars, pushed 2026-08-02
bowdena/monorail		unknown	false		# 121 erb, 0 stars, pushed 2026-08-02
yshmarov/moneygun		MIT	true		# 105 erb, 252 stars, pushed 2026-03-01
joeldrapper/slim-shady		MIT	true		# 99 erb, 3 stars, pushed 2025-12-04
clacky-ai/rails-template-7x-starter		unknown	false		# 97 erb, 3 stars, pushed 2026-02-25
pod4lib/aggregator		Apache-2.0	true		# 87 erb, 14 stars, pushed 2026-07-27
activescaffold/active_scaffold		MIT	true		# 80 erb, 1134 stars, pushed 2026-07-29
Ivan-Vakhula07/errbit		MIT	true	errbit-fork	# 72 erb, 1 stars, pushed 2026-06-19
rubyforgood/skillrx		MIT	true		# 69 erb, 13 stars, pushed 2026-07-28
mjc-gh/tiny_pixel		AGPL-3.0	true		# 62 erb, 1 stars, pushed 2026-07-31
openHPI/xikolo-core		AGPL-3.0	true		# 43 erb, 7 stars, pushed 2026-02-26
RSeven/bandflow		unknown	false		# 41 erb, 0 stars, pushed 2026-07-30
siasmj/flyio-cookbook		MIT	true		# 34 erb, 0 stars, pushed 2026-07-31
kudoas/sandbox		unknown	false		# 28 erb, 1 stars, pushed 2026-04-13
Shaumik-Ashraf/mcp-fhir-patient-index		MIT	true		# 27 erb, 3 stars, pushed 2026-05-21
simplonve/simplonve_site_officiel		unknown	false		# 24 erb, 5 stars, pushed 2016-09-20
bensheldon/island94		unknown	false		# 21 erb, 8 stars, pushed 2026-08-02
eirvandelden/happiness		unknown	false		# 16 erb, 0 stars, pushed 2026-07-31
kozy4324/blog-app		unknown	false		# 13 erb, 0 stars, pushed 2026-06-20
gem-coop/rubyversions.com		unknown	false		# 12 erb, 2 stars, pushed 2026-07-27
lineofflight/peddler		MIT	true		# 11 erb, 318 stars, pushed 2026-08-02
ViewComponent/demo		MIT	true		# 11 erb, 157 stars, pushed 2026-04-10
afomera/fresco		unknown	false		# 8 erb, 7 stars, pushed 2026-05-19
unboxed/digital-local-plans		unknown	false		# 5 erb, 0 stars, pushed 2026-07-30

